dup_level,library_size,mt_content,sequencing_depth,mapping_rate,frac_open,frip,uniq_nuc_frags,plate,batch,stage,time_point,cell_type
zf_3.0hpf_plate4_293,0.778653,62322,0.394981,468476,77.18,7.665,48.963,61279,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_023,0.751733,8709,2.780385,63390,75.04,1.4296,55.3907,8287,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_007,0.76207,78277,0.544906,541785,76.96,9.2356,47.9361,76475,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_375,0.695621,49389,0.186964,279710,75.33,6.849,56.0402,46980,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_287,0.760889,19883,0.148512,134593,77.01,2.5877,44.5716,19498,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_079,0.743144,55929,2.526169,376404,74.98,7.3921,51.462,53171,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_205,0.772114,18136,3.548044,136757,75.36,2.5959,50.2658,17235,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_237,0.757138,57619,1.888328,420218,74.86,8.088,55.8667,55438,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_146,0.783217,35095,0.542005,280661,76.37,5.1329,54.0838,34498,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_190,0.791193,132568,0.069316,1083861,76.69,15.421,52.3362,131192,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_301,0.744068,27827,0.452889,188528,78.17,4.3569,57.4579,27036,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_257,0.780431,12626,2.838813,96059,75.79,1.8366,48.5365,12116,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_245,0.763382,48626,0.784782,351045,74.76,6.2805,48.2955,47409,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_356,0.722502,34341,3.319177,219728,73.98,4.8246,55.3779,32099,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_166,0.785356,104042,0.119538,801142,76.77,12.5392,48.7463,102773,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_242,0.768053,92308,0.134296,669122,76.19,11.1479,50.1525,90722,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_125,0.763482,5099,37.921404,29893,84.82,0.48,30.6304,3112,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_359,0.769044,68083,2.391538,511552,75.89,9.2604,54.7607,65425,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_349,0.750197,8090,2.3247,53411,75.91,1.1606,46.9994,7731,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_214,0.761679,39280,2.20592,293634,75.23,5.9224,58.2703,37727,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_290,0.747849,10195,0.541897,67889,76.71,1.6258,54.3452,9911,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_141,0.797243,142824,0.117926,1178102,76.99,15.9318,50.0847,141447,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_025,0.764595,26995,1.605124,191271,75.8,3.8322,50.5124,26114,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
