dup_level,library_size,mt_content,sequencing_depth,mapping_rate,frac_open,frip,uniq_nuc_frags,plate,batch,stage,time_point,cell_type
zf_3.0hpf_plate6_341,0.646096,28732,2.918854,130617,77.55,4.228,55.6376,25710,zf_3.0hpf_plate6,zf_3.0hpf_batch2,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate6_302,0.506624,8085,0.87418,24517,72.4,0.9921,52.2557,6350,zf_3.0hpf_plate6,zf_3.0hpf_batch2,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate6_086,0.670327,68412,1.257421,345944,77.02,7.0195,48.0305,63372,zf_3.0hpf_plate6,zf_3.0hpf_batch2,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate6_100,0.694636,165086,0.860946,842758,76.88,12.9425,39.1673,156030,zf_3.0hpf_plate6,zf_3.0hpf_batch2,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate6_347,0.69554,91099,1.287499,508184,75.06,9.4548,47.3559,85717,zf_3.0hpf_plate6,zf_3.0hpf_batch2,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate6_217,0.7015,42035,6.246109,226733,76.77,4.0979,42.1139,37645,zf_3.0hpf_plate6,zf_3.0hpf_batch2,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate6_173,0.610081,59624,1.94882,227018,77.79,7.422,51.2889,52225,zf_3.0hpf_plate6,zf_3.0hpf_batch2,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate6_015,0.641963,36475,4.418042,155390,76.85,4.3512,46.1387,32019,zf_3.0hpf_plate6,zf_3.0hpf_batch2,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate6_071,0.649045,56681,0.540561,249539,76.56,6.6772,46.9572,52070,zf_3.0hpf_plate6,zf_3.0hpf_batch2,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate6_161,0.698447,104249,1.46536,556337,77.94,11.4879,48.8756,98107,zf_3.0hpf_plate6,zf_3.0hpf_batch2,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate6_048,0.637135,31149,1.340633,139019,75.11,4.1876,53.1375,28112,zf_3.0hpf_plate6,zf_3.0hpf_batch2,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate6_104,0.671556,64929,0.575684,314209,77.04,8.4582,52.1559,60620,zf_3.0hpf_plate6,zf_3.0hpf_batch2,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate6_102,0.674347,62027,0.745719,317694,74.97,6.7001,48.7769,57898,zf_3.0hpf_plate6,zf_3.0hpf_batch2,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate6_121,0.617081,7027,2.356849,29233,76.8,1.1156,58.6602,6173,zf_3.0hpf_plate6,zf_3.0hpf_batch2,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate6_092,0.670671,126542,0.933304,617390,75.65,13.1602,47.5113,117610,zf_3.0hpf_plate6,zf_3.0hpf_batch2,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate6_079,0.665379,24100,2.525858,122813,80.69,3.4781,58.6163,21958,zf_3.0hpf_plate6,zf_3.0hpf_batch2,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate6_222,0.63285,28027,3.260274,127430,73.65,3.3464,50.0665,24717,zf_3.0hpf_plate6,zf_3.0hpf_batch2,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate6_238,0.65764,45368,1.085926,215356,77.07,6.1814,56.0224,41718,zf_3.0hpf_plate6,zf_3.0hpf_batch2,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate6_287,0.604536,15333,1.254217,60727,75.97,2.2124,54.8848,13463,zf_3.0hpf_plate6,zf_3.0hpf_batch2,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate6_018,0.65499,411175,0.95442,1936334,74.82,32.7905,46.0333,377951,zf_3.0hpf_plate6,zf_3.0hpf_batch2,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate6_245,0.632374,240488,0.586081,1058633,74.7,20.8479,47.5284,217968,zf_3.0hpf_plate6,zf_3.0hpf_batch2,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate6_269,0.538112,43833,2.235918,139887,75.14,5.3563,53.3843,35373,zf_3.0hpf_plate6,zf_3.0hpf_batch2,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate6_197,0.69868,67910,1.702521,367494,75.85,7.5766,47.4138,63741,zf_3.0hpf_plate6,zf_3.0hpf_batch2,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate6_126,0.655094,97013,1.106224,475607,73.06,9.9904,47.8259,89040,zf_3.0hpf_plate6,zf_3.0hpf_batch2,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate6_299,0.287883,10039,1.624365,12553,73.79,0.778,53.1269,4845,zf_3.0hpf_plate6,zf_3.0hpf_batch2,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate6_233,0.630545,39768,1.716418,173525,76,4.2395,45.8513,35559,zf_3.0hpf_plate6,zf_3.0hpf_batch2,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate6_261,0.560159,70276,2.310325,244437,74.98,8.0642,52.8548,58225,zf_3.0hpf_plate6,zf_3.0hpf_batch2,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate6_067,0.699288,27545,3.24532,149429,77.23,3.7721,52.5377,25431,zf_3.0hpf_plate6,zf_3.0hpf_batch2,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate6_307,0.662114,37265,0.989615,177383,75,4.3609,47.8597,34417,zf_3.0hpf_plate6,zf_3.0hpf_batch2,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate6_199,0.654568,103209,0.273738,469680,76.4,11.9637,50.3155,95450,zf_3.0hpf_plate6,zf_3.0hpf_batch2,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate6_339,0.583614,38180,2.805708,152705,76,4.936,58.7528,32286,zf_3.0hpf_plate6,zf_3.0hpf_batch2,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate6_356,0.607557,36048,0.697038,141098,76.79,5.0758,56.5067,31912,zf_3.0hpf_plate6,zf_3.0hpf_batch2,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate6_167,0.707972,86593,0.344139,512195,73.18,8.5041,46.1718,82820,zf_3.0hpf_plate6,zf_3.0hpf_batch2,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate6_202,0.641997,60304,0.7567,267701,75.66,7.2088,51.1956,54953,zf_3.0hpf_plate6,zf_3.0hpf_batch2,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate6_380,0.433932,2508,3.852691,5502,77.56,0.3249,59.6034,1697,zf_3.0hpf_plate6,zf_3.0hpf_batch2,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate6_103,0.681817,94320,0.418537,489758,75.13,9.1761,45.0202,88747,zf_3.0hpf_plate6,zf_3.0hpf_batch2,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate6_364,0.687968,87363,0.436866,462805,76.2,8.1837,44.8946,82501,zf_3.0hpf_plate6,zf_3.0hpf_batch2,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate6_195,0.676807,22193,1.391812,107603,79.42,3.3941,56.6936,20617,zf_3.0hpf_plate6,zf_3.0hpf_batch2,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate6_370,0.59978,33735,8.483549,124568,76.65,3.4397,43.5083,27314,zf_3.0hpf_plate6,zf_3.0hpf_batch2,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate6_028,0.520625,43331,1.568975,135961,72.53,4.6269,51.9662,34442,zf_3.0hpf_plate6,zf_3.0hpf_batch2,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate6_254,0.645458,79979,0.441444,335620,79.28,10.2736,53.7401,73297,zf_3.0hpf_plate6,zf_3.0hpf_batch2,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate6_137,0.629238,73042,0.892951,310184,74.64,8.111,47.3934,65816,zf_3.0hpf_plate6,zf_3.0hpf_batch2,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.3hpf_plate1_099,0.726431,98749,0.059573,583995,78.18,11.7029,53.937,95624,zf_3.3hpf_plate1,zf_3.3hpf_batch1,high,zf_3.3hpf,DEL_3.3hpf
zf_3.3hpf_plate1_340,0.703192,51585,1.227242,275926,79.21,7.5845,60.9368,48773,zf_3.3hpf_plate1,zf_3.3hpf_batch1,high,zf_3.3hpf,DEL_3.3hpf
zf_3.3hpf_plate1_019,0.719918,76046,0.262825,424244,78.97,7.6487,45.6089,73240,zf_3.3hpf_plate1,zf_3.3hpf_batch1,high,zf_3.3hpf,DEL_3.3hpf
zf_3.3hpf_plate1_140,0.630452,43796,0.343686,189523,78.37,6.1852,63.0187,39725,zf_3.3hpf_plate1,zf_3.3hpf_batch1,high,zf_3.3hpf,DEL_3.3hpf
zf_3.3hpf_plate1_108,0.692296,112366,0.106619,585313,78.17,13.6328,57.0429,106809,zf_3.3hpf_plate1,zf_3.3hpf_batch1,high,zf_3.3hpf,DEL_3.3hpf
zf_3.3hpf_plate1_294,0.675171,22278,0.581784,108958,76.11,3.0143,52.3963,20848,zf_3.3hpf_plate1,zf_3.3hpf_batch1,high,zf_3.3hpf,DEL_3.3hpf
zf_3.3hpf_plate1_336,0.661287,90210,0.219874,416508,78.08,10.9302,56.037,83954,zf_3.3hpf_plate1,zf_3.3hpf_batch1,high,zf_3.3hpf,DEL_3.3hpf
zf_3.3hpf_plate1_053,0.607469,4684,0.143781,17845,77.01,0.6953,58.0158,4167,zf_3.3hpf_plate1,zf_3.3hpf_batch1,high,zf_3.3hpf,DEL_3.3hpf
zf_3.3hpf_plate1_106,0.688006,88762,0.377412,477085,74.95,9.9297,52.7368,83940,zf_3.3hpf_plate1,zf_3.3hpf_batch1,high,zf_3.3hpf,DEL_3.3hpf
zf_3.3hpf_plate1_274,0.705159,132642,0.086504,722688,79.47,16.4737,58.6115,127052,zf_3.3hpf_plate1,zf_3.3hpf_batch1,high,zf_3.3hpf,DEL_3.3hpf
zf_3.3hpf_plate1_226,0.702149,109061,0.03066,599756,77.48,12.7733,55.3497,104339,zf_3.3hpf_plate1,zf_3.3hpf_batch1,high,zf_3.3hpf,DEL_3.3hpf
zf_3.3hpf_plate1_167,0.719565,38320,0.300024,218350,80.09,5.728,61.6199,36886,zf_3.3hpf_plate1,zf_3.3hpf_batch1,high,zf_3.3hpf,DEL_3.3hpf
zf_3.3hpf_plate1_278,0.670101,70721,0.066317,334119,77.52,8.0126,49.8952,66304,zf_3.3hpf_plate1,zf_3.3hpf_batch1,high,zf_3.3hpf,DEL_3.3hpf
zf_3.3hpf_plate1_365,0.727212,123687,0.252827,704684,79.75,14.7744,55.6394,119542,zf_3.3hpf_plate1,zf_3.3hpf_batch1,high,zf_3.3hpf,DEL_3.3hpf
zf_3.3hpf_plate1_130,0.696524,124037,0.099719,661989,79,15.374,59.8105,118215,zf_3.3hpf_plate1,zf_3.3hpf_batch1,high,zf_3.3hpf,DEL_3.3hpf
zf_3.3hpf_plate1_074,0.671153,43242,0.093631,212453,80.72,5.8523,60.9055,40547,zf_3.3hpf_plate1,zf_3.3hpf_batch1,high,zf_3.3hpf,DEL_3.3hpf
zf_3.3hpf_plate1_121,0.674988,113808,0.10079,568744,74.92,11.2374,48.7835,107045,zf_3.3hpf_plate1,zf_3.3hpf_batch1,high,zf_3.3hpf,DEL_3.3hpf
zf_3.3hpf_plate1_009,0.65093,29987,1.095811,138770,76.13,4.0453,55.3745,27438,zf_3.3hpf_plate1,zf_3.3hpf_batch1,high,zf_3.3hpf,DEL_3.3hpf
zf_3.3hpf_plate1_131,0.714654,163410,0.174732,930066,77.87,18.1067,54.7667,157109,zf_3.3hpf_plate1,zf_3.3hpf_batch1,high,zf_3.3hpf,DEL_3.3hpf
zf_3.3hpf_plate1_165,0.707308,90033,0.113444,502124,76.98,10.2631,52.3592,86288,zf_3.3hpf_plate1,zf_3.3hpf_batch1,high,zf_3.3hpf,DEL_3.3hpf
zf_3.3hpf_plate1_012,0.679848,78458,0.832816,398209,77.66,10.1064,58.2121,73469,zf_3.3hpf_plate1,zf_3.3hpf_batch1,high,zf_3.3hpf,DEL_3.3hpf
zf_3.3hpf_plate1_160,0.676113,124265,0.097378,612429,77.29,14.9554,56.8613,116955,zf_3.3hpf_plate1,zf_3.3hpf_batch1,high,zf_3.3hpf,DEL_3.3hpf
zf_3.3hpf_plate1_195,0.715819,79145,0.121882,458648,77.09,9.6445,54.49,76210,zf_3.3hpf_plate1,zf_3.3hpf_batch1,high,zf_3.3hpf,DEL_3.3hpf
zf_3.3hpf_plate1_306,0.725819,88069,0.223976,504469,78.86,10.9115,53.8979,85086,zf_3.3hpf_plate1,zf_3.3hpf_batch1,high,zf_3.3hpf,DEL_3.3hpf
zf_3.3hpf_plate1_083,0.697416,96914,0.191353,525744,76.68,11.3337,54.6984,92322,zf_3.3hpf_plate1,zf_3.3hpf_batch1,high,zf_3.3hpf,DEL_3.3hpf
zf_3.3hpf_plate1_101,0.69069,109903,0.091878,560166,79.14,14.0914,59.6295,104390,zf_3.3hpf_plate1,zf_3.3hpf_batch1,high,zf_3.3hpf,DEL_3.3hpf
zf_3.3hpf_plate1_049,0.709108,46121,0.076765,266744,75.18,5.1151,49.8341,44257,zf_3.3hpf_plate1,zf_3.3hpf_batch1,high,zf_3.3hpf,DEL_3.3hpf
zf_3.3hpf_plate1_089,0.692856,119340,0.217412,614006,79.43,15.4111,60.0243,113362,zf_3.3hpf_plate1,zf_3.3hpf_batch1,high,zf_3.3hpf,DEL_3.3hpf
zf_3.3hpf_plate1_060,0.640874,20252,0.775069,98089,74.05,2.8308,62.6325,18435,zf_3.3hpf_plate1,zf_3.3hpf_batch1,high,zf_3.3hpf,DEL_3.3hpf
zf_3.3hpf_plate1_346,0.695282,62714,0.194025,329152,79.23,6.9224,49.3736,59670,zf_3.3hpf_plate1,zf_3.3hpf_batch1,high,zf_3.3hpf,DEL_3.3hpf
zf_3.3hpf_plate1_225,0.635483,110778,1.030042,501298,75.03,13.05,57.5268,100215,zf_3.3hpf_plate1,zf_3.3hpf_batch1,high,zf_3.3hpf,DEL_3.3hpf
zf_3.3hpf_plate1_173,0.671656,125141,0.055297,604789,76.41,12.453,49.3296,117483,zf_3.3hpf_plate1,zf_3.3hpf_batch1,high,zf_3.3hpf,DEL_3.3hpf
zf_3.3hpf_plate1_104,0.69369,93577,0.488013,497773,77.74,11.8241,57.4885,88702,zf_3.3hpf_plate1,zf_3.3hpf_batch1,high,zf_3.3hpf,DEL_3.3hpf
zf_3.3hpf_plate1_337,0.651598,91618,0.664992,426659,76.26,11.4147,57.9263,84249,zf_3.3hpf_plate1,zf_3.3hpf_batch1,high,zf_3.3hpf,DEL_3.3hpf
zf_3.3hpf_plate1_238,0.695385,37884,3.644824,201357,79.31,5.6191,61.2793,34790,zf_3.3hpf_plate1,zf_3.3hpf_batch1,high,zf_3.3hpf,DEL_3.3hpf
zf_3.3hpf_plate1_171,0.673186,118012,0.216249,581452,75.09,11.5546,50.2054,110743,zf_3.3hpf_plate1,zf_3.3hpf_batch1,high,zf_3.3hpf,DEL_3.3hpf
zf_3.3hpf_plate1_184,0.734499,38605,0.865951,229751,82.18,5.842,66.3265,37206,zf_3.3hpf_plate1,zf_3.3hpf_batch1,high,zf_3.3hpf,DEL_3.3hpf
zf_3.3hpf_plate1_072,0.702211,41549,5.19314,222983,76.98,5.5513,54.5808,37699,zf_3.3hpf_plate1,zf_3.3hpf_batch1,high,zf_3.3hpf,DEL_3.3hpf
zf_3.3hpf_plate1_271,0.726424,132127,0.130506,796203,78.56,14.8995,55.1867,127796,zf_3.3hpf_plate1,zf_3.3hpf_batch1,high,zf_3.3hpf,DEL_3.3hpf
zf_3.3hpf_plate1_067,0.725995,119667,0.499042,724450,78.15,13.5471,53.9345,115244,zf_3.3hpf_plate1,zf_3.3hpf_batch1,high,zf_3.3hpf,DEL_3.3hpf
zf_3.3hpf_plate1_037,0.644947,15602,0.759423,71603,76.35,2.3304,61.1196,14244,zf_3.3hpf_plate1,zf_3.3hpf_batch1,high,zf_3.3hpf,DEL_3.3hpf
zf_3.3hpf_plate1_025,0.675382,125330,1.885177,609722,79.31,15.0252,58.3854,115749,zf_3.3hpf_plate1,zf_3.3hpf_batch1,high,zf_3.3hpf,DEL_3.3hpf
zf_3.3hpf_plate1_230,0.727047,73788,0.093708,441794,78.29,9.7694,56.905,71432,zf_3.3hpf_plate1,zf_3.3hpf_batch1,high,zf_3.3hpf,DEL_3.3hpf
zf_3.3hpf_plate1_166,0.696087,202494,0.22732,1108583,77.13,21.1333,54.8418,192681,zf_3.3hpf_plate1,zf_3.3hpf_batch1,high,zf_3.3hpf,DEL_3.3hpf
zf_3.3hpf_plate1_081,0.698456,122067,0.203348,668141,75.72,13.1841,51.7804,116312,zf_3.3hpf_plate1,zf_3.3hpf_batch1,high,zf_3.3hpf,DEL_3.3hpf
zf_3.3hpf_plate1_040,0.6949,84946,0.286625,468500,77.89,10.7987,59.3184,80710,zf_3.3hpf_plate1,zf_3.3hpf_batch1,high,zf_3.3hpf,DEL_3.3hpf
zf_3.3hpf_plate1_193,0.660834,35601,0.05123,167907,77.66,4.346,52.2993,33167,zf_3.3hpf_plate1,zf_3.3hpf_batch1,high,zf_3.3hpf,DEL_3.3hpf
zf_3.3hpf_plate1_065,0.697715,144448,0.100795,757915,80.23,17.5153,57.6495,137765,zf_3.3hpf_plate1,zf_3.3hpf_batch1,high,zf_3.3hpf,DEL_3.3hpf
zf_3.3hpf_plate1_355,0.708044,52380,6.630439,282664,79.52,6.9738,56.5568,46907,zf_3.3hpf_plate1,zf_3.3hpf_batch1,high,zf_3.3hpf,DEL_3.3hpf
zf_3.3hpf_plate1_115,0.65706,53195,0.206198,237126,79.12,5.3242,47.0566,49365,zf_3.3hpf_plate1,zf_3.3hpf_batch1,high,zf_3.3hpf,DEL_3.3hpf
zf_3.3hpf_plate1_057,0.711509,98420,0.188137,534421,78.57,9.9372,47.3714,94434,zf_3.3hpf_plate1,zf_3.3hpf_batch1,high,zf_3.3hpf,DEL_3.3hpf
zf_3.3hpf_plate1_282,0.69109,60776,3.443562,323775,79.63,7.9928,58.0777,55799,zf_3.3hpf_plate1,zf_3.3hpf_batch1,high,zf_3.3hpf,DEL_3.3hpf
zf_3.3hpf_plate1_170,0.71003,289595,0.534636,1662108,75.11,26.3438,51.397,276832,zf_3.3hpf_plate1,zf_3.3hpf_batch1,high,zf_3.3hpf,DEL_3.3hpf
zf_3.3hpf_plate1_028,0.670867,101439,0.129168,497481,78.31,12.1223,57.3279,95102,zf_3.3hpf_plate1,zf_3.3hpf_batch1,high,zf_3.3hpf,DEL_3.3hpf
zf_3.3hpf_plate1_246,0.692871,62523,8.51972,322698,78.91,8.1424,56.431,54439,zf_3.3hpf_plate1,zf_3.3hpf_batch1,high,zf_3.3hpf,DEL_3.3hpf
zf_3.3hpf_plate1_267,0.700695,196437,0.368915,1051223,76.76,19.2011,50.1129,187155,zf_3.3hpf_plate1,zf_3.3hpf_batch1,high,zf_3.3hpf,DEL_3.3hpf
zf_3.3hpf_plate1_073,0.671572,106457,0.361123,518726,78.47,13.3639,59.0621,99605,zf_3.3hpf_plate1,zf_3.3hpf_batch1,high,zf_3.3hpf,DEL_3.3hpf
zf_3.3hpf_plate1_064,0.459367,46842,0.133306,108083,75.63,4.9835,58.591,34461,zf_3.3hpf_plate1,zf_3.3hpf_batch1,high,zf_3.3hpf,DEL_3.3hpf
zf_3.3hpf_plate1_026,0.685121,66571,0.470816,344977,76.8,7.6987,51.8048,62785,zf_3.3hpf_plate1,zf_3.3hpf_batch1,high,zf_3.3hpf,DEL_3.3hpf
zf_3.3hpf_plate1_329,0.702279,91342,0.038912,492838,79.46,11.9961,58.4198,87343,zf_3.3hpf_plate1,zf_3.3hpf_batch1,high,zf_3.3hpf,DEL_3.3hpf
zf_3.3hpf_plate1_097,0.675655,44925,0.125355,220753,77,5.3993,51.9288,42227,zf_3.3hpf_plate1,zf_3.3hpf_batch1,high,zf_3.3hpf,DEL_3.3hpf
zf_3.3hpf_plate1_214,0.693856,162351,1.459118,882489,75.52,16.5477,52.297,152358,zf_3.3hpf_plate1,zf_3.3hpf_batch1,high,zf_3.3hpf,DEL_3.3hpf
zf_3.3hpf_plate1_316,0.719496,203363,0.209323,1206551,77.66,21.8007,55.5804,195936,zf_3.3hpf_plate1,zf_3.3hpf_batch1,high,zf_3.3hpf,DEL_3.3hpf
zf_3.3hpf_plate1_366,0.686995,116564,0.140122,644281,71.15,11.9919,48.5341,110463,zf_3.3hpf_plate1,zf_3.3hpf_batch1,high,zf_3.3hpf,DEL_3.3hpf
zf_3.3hpf_plate1_132,0.617245,192335,0.21954,775063,77.06,17.9964,51.165,172709,zf_3.3hpf_plate1,zf_3.3hpf_batch1,high,zf_3.3hpf,DEL_3.3hpf
zf_3.3hpf_plate1_147,0.700762,112252,0.04286,619027,76.82,11.6948,50.6615,107280,zf_3.3hpf_plate1,zf_3.3hpf_batch1,high,zf_3.3hpf,DEL_3.3hpf
zf_3.3hpf_plate1_305,0.61664,157054,0.259077,626468,76.57,16.9735,54.8304,140905,zf_3.3hpf_plate1,zf_3.3hpf_batch1,high,zf_3.3hpf,DEL_3.3hpf
zf_3.3hpf_plate1_286,0.69413,129397,0.241752,680084,78.47,15.6482,57.1357,122969,zf_3.3hpf_plate1,zf_3.3hpf_batch1,high,zf_3.3hpf,DEL_3.3hpf
zf_3.3hpf_plate1_345,0.667197,98724,0.123315,475726,77.07,11.2424,53.4528,92332,zf_3.3hpf_plate1,zf_3.3hpf_batch1,high,zf_3.3hpf,DEL_3.3hpf
zf_3.3hpf_plate1_360,0.721431,185496,0.489225,1095773,75.99,17.4075,48.8185,178386,zf_3.3hpf_plate1,zf_3.3hpf_batch1,high,zf_3.3hpf,DEL_3.3hpf
zf_3.3hpf_plate1_004,0.702134,177981,0.060493,964340,78.01,19.6018,55.8117,170165,zf_3.3hpf_plate1,zf_3.3hpf_batch1,high,zf_3.3hpf,DEL_3.3hpf
zf_3.3hpf_plate1_138,0.631915,9934,0.154713,45599,74.34,1.4024,58.4871,9035,zf_3.3hpf_plate1,zf_3.3hpf_batch1,high,zf_3.3hpf,DEL_3.3hpf
zf_3.3hpf_plate1_151,0.698671,163457,1.088787,860297,77.02,16.391,51.1426,154437,zf_3.3hpf_plate1,zf_3.3hpf_batch1,high,zf_3.3hpf,DEL_3.3hpf
zf_3.3hpf_plate1_119,0.659287,80930,0.334293,402001,77.17,8.453,51.314,75131,zf_3.3hpf_plate1,zf_3.3hpf_batch1,high,zf_3.3hpf,DEL_3.3hpf
zf_3.3hpf_plate1_153,0.68542,142572,0.290205,746296,76.74,15.4751,54.1221,134685,zf_3.3hpf_plate1,zf_3.3hpf_batch1,high,zf_3.3hpf,DEL_3.3hpf
zf_3.3hpf_plate1_231,0.680327,64634,0.167065,323463,78.49,7.2153,50.303,60952,zf_3.3hpf_plate1,zf_3.3hpf_batch1,high,zf_3.3hpf,DEL_3.3hpf
zf_3.3hpf_plate1_347,0.722133,244376,0.54723,1431455,77.47,24.3382,52.9116,234988,zf_3.3hpf_plate1,zf_3.3hpf_batch1,high,zf_3.3hpf,DEL_3.3hpf
zf_3.3hpf_plate1_200,0.692186,40490,11.814028,208367,79.47,5.3859,56.0186,33971,zf_3.3hpf_plate1,zf_3.3hpf_batch1,high,zf_3.3hpf,DEL_3.3hpf
zf_3.3hpf_plate1_264,0.694214,75363,0.122552,394524,76.5,9.3304,55.0999,71718,zf_3.3hpf_plate1,zf_3.3hpf_batch1,high,zf_3.3hpf,DEL_3.3hpf
zf_3.3hpf_plate1_133,0.665532,105051,0.064116,501122,77.16,12.0654,55.2656,98197,zf_3.3hpf_plate1,zf_3.3hpf_batch1,high,zf_3.3hpf,DEL_3.3hpf
zf_3.3hpf_plate1_093,0.645246,20055,0.936857,89104,75.75,2.6683,53.3359,18293,zf_3.3hpf_plate1,zf_3.3hpf_batch1,high,zf_3.3hpf,DEL_3.3hpf
zf_3.3hpf_plate1_191,0.679274,41724,1.414747,215080,76.86,5.6649,57.0966,38814,zf_3.3hpf_plate1,zf_3.3hpf_batch1,high,zf_3.3hpf,DEL_3.3hpf
zf_3.3hpf_plate1_178,0.710413,180185,0.28812,1026031,77.68,19.5197,55.6348,172693,zf_3.3hpf_plate1,zf_3.3hpf_batch1,high,zf_3.3hpf,DEL_3.3hpf
zf_3.3hpf_plate1_273,0.583142,72674,0.569332,256092,77.35,9.2307,60.2021,62872,zf_3.3hpf_plate1,zf_3.3hpf_batch1,high,zf_3.3hpf,DEL_3.3hpf
zf_3.3hpf_plate1_181,0.691454,143576,0.14719,738464,79.08,17.99,59.3788,136357,zf_3.3hpf_plate1,zf_3.3hpf_batch1,high,zf_3.3hpf,DEL_3.3hpf
zf_3.3hpf_plate1_016,0.696238,67709,0.174893,366193,80.69,7.8319,55.5989,64498,zf_3.3hpf_plate1,zf_3.3hpf_batch1,high,zf_3.3hpf,DEL_3.3hpf
zf_3.3hpf_plate1_370,0.659282,30116,0.506474,139053,78.34,4.036,58.9721,27895,zf_3.3hpf_plate1,zf_3.3hpf_batch1,high,zf_3.3hpf,DEL_3.3hpf
zf_3.3hpf_plate1_351,0.681064,72033,0.931367,372911,77.2,9.4767,58.8282,67438,zf_3.3hpf_plate1,zf_3.3hpf_batch1,high,zf_3.3hpf,DEL_3.3hpf
zf_3.3hpf_plate1_227,0.676337,138701,0.299248,682353,76.37,15.0444,52.1502,130270,zf_3.3hpf_plate1,zf_3.3hpf_batch1,high,zf_3.3hpf,DEL_3.3hpf
zf_3.3hpf_plate1_021,0.685521,44478,0.256307,227154,77.29,5.1276,50.0581,42029,zf_3.3hpf_plate1,zf_3.3hpf_batch1,high,zf_3.3hpf,DEL_3.3hpf
zf_3.3hpf_plate1_096,0.663812,82920,0.05679,389197,76.8,9.4748,53.2241,77434,zf_3.3hpf_plate1,zf_3.3hpf_batch1,high,zf_3.3hpf,DEL_3.3hpf
zf_3.3hpf_plate1_102,0.704043,91525,0.95827,503463,76.53,9.8037,50.3149,86818,zf_3.3hpf_plate1,zf_3.3hpf_batch1,high,zf_3.3hpf,DEL_3.3hpf
zf_3.3hpf_plate1_357,0.711995,71535,0.313935,393591,78.69,7.7951,49.4542,68588,zf_3.3hpf_plate1,zf_3.3hpf_batch1,high,zf_3.3hpf,DEL_3.3hpf
zf_3.3hpf_plate1_113,0.690102,145829,0.198428,751215,78.02,16.386,54.7778,138314,zf_3.3hpf_plate1,zf_3.3hpf_batch1,high,zf_3.3hpf,DEL_3.3hpf
zf_3.3hpf_plate1_331,0.682892,118114,0.284526,598959,76.72,12.7783,52.8515,111447,zf_3.3hpf_plate1,zf_3.3hpf_batch1,high,zf_3.3hpf,DEL_3.3hpf
